""TranscriptID" "ctrl1_sorted" "ctrl2_sorted" "ctrl3_sorted" "de1_sorted" "de2_sorted" "de3_sorted"
"ENST00000075322.11" 8.0006 7.46375 6.04749 8.33901 8.74079 5.66197
"ENST00000075430.11" 0 0 0 1 3 0
"ENST00000075503.8" 0 0 1 0 1 1
"ENST00000078429.9" 68.969 9 30.64997 36 22 44.63755
"ENST00000080059.12" 25.14491 14.80899 6.5838 4.5 8.42738 6.6
"ENST00000081029.8" 52.65 59 46.62857 60.52941 72.92308 46.2
"ENST00000082468.11" 0 0 0 0 5.5 7.2
"ENST00000083182.8" 6 33 17 15 20 13
"ENST00000084795.9" 31.82892 46.0674 29.84742 92.50472 89.80613 6.55044
"ENST00000084798.9" 19 72 24.92308 77.97403 49 84.95455
"ENST00000085068.7" 30.88516 18.45 2.32 19.39217 15.625 33.33357
"ENST00000085079.11" 0 1.07692 0 1.18182 0 0
"ENST00000155093.8" 0.5 1 2 0 3 0
"ENST00000155674.9" 0 0 0 0 0 0
"ENST00000155840.12" 0 7 0 5 0 0.5
"ENST00000155926.9" 0.5 16 9.87394 14 3.75 4
"ENST00000156084.8" 7.38548 0 3.26805 2.16572 1.35727 2.63154
"ENST00000156109.7" 18 12 28 13 14 36
"ENST00000156471.10" 1 8 10 1 2 13
"ENST00000156825.5" 19 0 11.25 37 17.33337 0
"ENST00000157600.8" 57.8451 83 35.82487 53.98138 26 37.76022
"ENST00000157812.7" 28.59881 68.7737 61.91241 90.85266 30.87063 50.98001
"ENST00000158166.5" 0 0 1.07618 1.05797 2.84389 0
"ENST00000158762.8" 0 7 1 5 2.66667 1.33333
"ENST00000158771.9" 25 36 24 72 36 53
"ENST00000159087.7" 0 0.5 0 0 1.5 0
"ENST00000159111.9" 0 0 5 0.5 0.99437 0
"ENST00000159647.9" 0 0 0 2.64091 0 0
"ENST00000160262.10" 3.16667 0 8 3.81638 6 2
"ENST00000160298.9" 0.5 0 4 0.5 0 4
"ENST00000160373.8" 2 0 1 11 2 7
"ENST00000160382.10" 13 15 5 7 10 6
"ENST00000160827.9" 7.45488 1.51383 18.54792 3.75066 12.8727 5.89629
"ENST00000161006.8" 12 4 0 0 2 3
"ENST00000161559.11" 4 3 4 2 7 1
"ENST00000161863.9" 6 4.63132 1.70954 15 10 4.76207
"ENST00000162044.14" 12.65 8.33333 0 14 2 1.4
"ENST00000162330.10" 23 11 6 3.5 3.63967 6.32728
"ENST00000162391.8" 15 38 23 26 19 37
"ENST00000162749.7" 21.77917 37.73695 40.21573 38.52718 30.58913 29.91343
"ENST00000163416.7" 3 17 8 19 9 11
"ENST00000163678.11" 0 1 0 1.11111 3.3 0
"ENST00000164024.5" 1 1 4 3 2 2
"ENST00000164133.7" 14 7 5 3 9 8
"ENST00000164139.4" 110 107 107 62 47 132
"ENST00000164227.10" 9 13 4 1 4 6
"ENST00000164305.10" 3.6 3 4 10 6 0.5
"ENST00000164640.8" 0 26.25 8 10.5 31.8 2.4
"ENST00000165698.9" 0 7.6 0 0 3 3.77778
"ENST00000166139.9" 45 15 33 17 15 34
"ENST00000166345.8" 25 5 16 16 7 10
"ENST00000166534.8" 0 0 0 1.87677 8.42237 6.99925
"ENST00000167106.9" 19 10 16 13 3 2
"ENST00000168216.11" 76.63339 52.98085 50.10902 40.8837 25 36.16006
"ENST00000168977.7" 36.26667 47.21168 45.71429 13.37705 64.04651 24.41096
"ENST00000169293.10" 12.8987 26.91237 12.22197 25.89484 33.2432 31.31307
"ENST00000169298.8" 86.15245 98.91232 79.06197 72.41219 96.41997 86.17146
"ENST00000169551.11" 47 25 35 11 37.94357 23
"ENST00000170168.9" 6 12 4 7 6 12
"ENST00000170447.12" 7.65376 0 6.3967 33 4.37021 7.66946
"ENST00000170564.7" 0 0 5 7.63263 3 10.7515
"ENST00000171111.10" 20.55556 12 12.66667 43 24.66667 46.92308
"ENST00000171887.8" 15.90418 32.81118 9.72586 34.91575 0 38.55793
"ENST00000172229.8" 0 3 8 2 3 8
"ENST00000173229.7" 12 3 12 1 9 0
"ENST00000173527.6" 13 19 18 17 7 5
"ENST00000173785.4" 0 1.03743 0 0 1.01119 1.02293
"ENST00000173898.12" 4.60183 9 1.33333 0 0 4
"ENST00000174618.5" 5 11 16 13 3 10
"ENST00000175091.5" 334 283 439 292 492 439
"ENST00000175506.8" 2.42813 0 0 1.49165 0 0
"ENST00000175756.10" 24 7.41394 17 18.05484 3.53092 11.78783
"ENST00000176643.11" 14.09212 8.33333 5.0336 1.82004 1.67558 15.07443
"ENST00000176763.10" 9 23 23 39 15 12
"ENST00000177742.7" 30.56542 29.47458 41.28264 11.6638 11.2514 8.05714
"ENST00000178638.8" 44 11.66667 32.58333 15 12 13
"ENST00000178640.10" 0 5.4 1.4 0.5 3 0
"ENST00000179259.6" 22 26 16 37 9 32
"ENST00000180173.10" 1 2 3 9 1 4
"ENST00000181796.7" 1.5 5 0.5 0 3.42857 2.5
"ENST00000181839.10" 9 11.6875 2.17564 5.63979 2.66667 12.79241
"ENST00000182290.9" 2 3 0 1 0 0
"ENST00000182527.4" 45 12 49 17 29 33
"ENST00000184266.3" 522.94704 404.41015 642.94774 159 196 195.98955
"ENST00000184956.11" 1 11 0 8 10 2
"ENST00000185206.12" 51.03698 74.30769 40.85282 41.66675 168.20629 79.51665
"ENST00000186436.10" 14 4 6 19 4 9
"ENST00000187397.8" 1 3.23528 0 0 0 3.66667
"ENST00000187762.7" 64 33 14 47.75569 41 49
"ENST00000188312.7" 15.3109 16.14658 11.16995 15.54591 5.70261 8
"ENST00000188376.9" 51.41309 11.29901 33.58918 10.3077 20.21981 16.79726
"ENST00000188790.9" 23.85852 43.5992 33 33.00647 3.33333 24.91442
"ENST00000190611.9" 2 25 7 3 15 10
"ENST00000190983.5" 11.66936 16.26338 0 16.77906 0 2.42773
"ENST00000191018.9" 0 1.52675 4.24967 9.43802 5.53608 4.44954
"ENST00000192788.6" 12 2 8 10 7 8
"ENST00000193403.10" 0 0 4.25218 6.68092 8.49233 0
"ENST00000194118.8" 0 0 1.4892 2.81165 0 0
"ENST00000194152.4" 0 2 0 3 4 1
"ENST00000194155.7" 0 1 3 0 0 1
"ENST00000194214.10" 47.91111 30.27027 29.58621 56.90566 30.6 51.89583
"ENST00000194530.8" 10.83333 5.6 13.63636 10.66667 5 12
"ENST00000194900.8" 7 2 6.08883 2.35051 4.00227 0.33333
"ENST00000196061.5" 54.60447 88.82104 37.82621 82.25766 112.90205 65
"ENST00000196169.7" 0 0 0 4 0.33333 3.5
"ENST00000196371.10" 22 40 32 51 52 58
"ENST00000196482.4" 0.5 3.5 3.5 1 0 0
"ENST00000196489.4" 0 2 0 0 3 0
"ENST00000196551.8" 564.66502 0 0 1.08337 0 0
"ENST00000197268.13" 5 11 7 6 13 8
"ENST00000198536.7" 0 1 0 5.2 8.72727 7
"ENST00000198767.11" 5 4 7 10 9 6
"ENST00000198939.6" 2 4 3.25 3.66667 8.45455 3.8
"ENST00000199320.9" 14.82353 6 9 7.2 5.83333 8
"ENST00000199389.11" 43 34 15 27 30 40
"ENST00000199448.9" 51 24 38 57 64 41
"ENST00000199706.13" 34.61471 0 18.57125 10 7.33333 27.31574
"ENST00000199708.3" 1 1 5 0 0 5
"ENST00000199814.9" 10.59729 24.02222 15.70536 5 17 25.91626
"ENST00000199936.9" 10 12 13 16 8 12
"ENST00000200135.8" 4 2 8 10 5 1
"ENST00000200181.8" 0 0 0.5 3 1 0.5
"ENST00000200453.6" 65.05378 91.68742 90.07167 205.64716 104.20096 118.40163
"ENST00000200457.9" 41.73529 30.17241 30.96154 60.55769 50.47619 63.75439
"ENST00000200557.11" 14 5 12 6 24 18
"ENST00000200639.9" 28.28378 54.48723 68.85517 81.88028 47.38462 64.19459
"ENST00000200652.4" 20 17 15 21 19 9
"ENST00000200691.5" 215.4002 184.94388 237.29558 308.96865 120.85786 204.76505
"ENST00000201031.3" 10 1 10 6 1 5
"ENST00000201647.11" 1 0 1 0 4 0
"ENST00000201979.3" 0 0 3 1 2 1
"ENST00000202017.6" 20 14 18 16 20 23
"ENST00000202556.14" 0.5 15.33333 6 9 0 12
"ENST00000202677.12" 3 15 3 16 7 0
"ENST00000202773.14" 1435.46446 1603.56316 1032.85885 3385.12388 3198.30728 3032.19732
"ENST00000202816.5" 8.2 45.69231 29 0 0 10.66667
"ENST00000202831.7" 0 0 0 3.59896 0 0
"ENST00000202834.11" 78.46392 46.45205 67.4739 16.97174 50.49054 108.59121
"ENST00000202967.4" 5 1 2 0 0 0
"ENST00000203001.7" 20.47059 2 17 11.25 3.5 11
"ENST00000203166.10" 4 2.5 0 0 16 5
"ENST00000203407.6" 206.95966 238 150 212.98439 142.98566 175.99424
"ENST00000203556.9" 3 0 4 5 3 4
"ENST00000203630.10" 106 28.5 61.975 33 51 31.35
"ENST00000203664.10" 0 1 0 0 0 0
"ENST00000204005.13" 5.9383 3 1.5 0.4438 15 0
"ENST00000204517.11" 2 1 1 0.5 2 0
"ENST00000204549.9" 4 11 14 13 5 14
"ENST00000204566.7" 50.18857 27.17891 22.76761 70.24298 16.40141 67.28772
"ENST00000204604.6" 9.55096 0 9.6373 4.73661 15.93282 22.85744
"ENST00000204679.9" 0 23.34158 1.87591 22.49845 26.72774 25.31313
"ENST00000204726.9" 8.5 0 22.8385 0 25.21228 11.39744
"ENST00000204961.5" 9 11 2 0 5 5
"ENST00000205061.9" 9.35701 2.08502 5.27886 6.18548 0 2.80952
"ENST00000205143.4" 0 0 0 0 0 3.23021
"ENST00000205194.5" 23 13 40 16 11 32.87879
"ENST00000205214.11" 5 10 3 4 5 1
"ENST00000205402.10" 57 58 79 47 63 66
"ENST00000205557.12" 0 4 4 0 0 2
"ENST00000205636.4" 28 46 40 20 46 27
"ENST00000206020.8" 103.57905 78.52549 69.17613 77.63632 34.32335 51.2291
"ENST00000206262.2" 6 4 6 0 8 6
"ENST00000206380.8" 0 0 0 0 0 2.7062
"ENST00000206423.8" 773.30329 534.5702 651.70654 964.75318 1536.93114 1012.58469
"ENST00000206451.11" 91.75118 133.8631 104.08669 132.46101 134.35901 100.92028
"ENST00000206474.11" 12 16.7795 0.98819 16.84593 14.39729 31
"ENST00000206542.9" 22.1 20.33597 8.14286 1.07617 3.75 5.38462
"ENST00000206544.8" 29.38986 44.09228 27.70823 30.64605 28.57281 14.90441
"ENST00000206595.11" 2 4 3 4 12 5
"ENST00000206765.11" 0 0 0 1 0 3
"ENST00000207157.7" 0 0 0 9.42857 4.5 8
"ENST00000207549.9" 1 2 10 7 7 1
"ENST00000207636.9" 2.36815 4.76267 10.49368 2.45472 8.92945 1.16286
"ENST00000207870.8" 0 1 0.5 0 3 2
"ENST00000209728.9" 4 4 3 10 0 8
"ENST00000209873.9" 13.6893 12 23 29.64323 4.5 38.39233
"ENST00000209875.9" 44 52 18.82353 42 30 44
"ENST00000209884.5" 16 3 4 9 18 3
"ENST00000209929.10" 9 8 4 9 7 4
"ENST00000210060.12" 66 43 40 40.95 55 30.90909
"ENST00000210187.11" 3.76465 4.88889 5.70794 3 4.27358 11.84677
"ENST00000210313.8" 18 35 24 31 17 28
"ENST00000210444.6" 54.40856 45.02208 33.66677 35 42 39
"ENST00000210633.4" 1 2 1 0 0 0
"ENST00000211287.9" 7.33333 11 23 20 4 2
"ENST00000211314.5" 66 41 52 65 55 69
"ENST00000211379.9" 0 0 20.36913 16.08977 0 4.69187
"ENST00000211413.10" 3 4 3 10 9 14
"ENST00000211936.10" 0 0 0.5 0.5 3 0
"ENST00000211998.10" 6.25235 4.76654 10.04776 7.18754 9.13701 1.84124
"ENST00000212015.11" 8 3 6 4 2 3
"ENST00000212355.9" 25 15.75 29.33333 39 25 11
"ENST00000214869.7" 10 11 40 25 27 14
"ENST00000215057.7" 1.15142 0 0 0 1.66667 0
"ENST00000215061.9" 11.11625 5 0.5 5.09628 0.5 4.56749
"ENST00000215071.9" 199.6131 232.0625 157.82112 14.34209 6.6226 25.02956
"ENST00000215095.11" 29 26 32 36 29 45
"ENST00000215115.5" 7 8 5 3 10 0
"ENST00000215368.4" 3 5 0 3 1 1
"ENST00000215375.7" 118.76931 101.27836 89.80039 105.16878 158.77589 138.60971
"ENST00000215530.7" 0 0 1 0 0 2
"ENST00000215531.6" 2 1 1 2 2 1
"ENST00000215555.7" 16.66667 8.90909 3.81818 14.77778 13.14286 26.66667
"ENST00000215565.3" 87.37893 88.23966 177.23421 52.94687 48.54646 69.52643
"ENST00000215567.10" 13.19585 10.85531 10.55975 21.69972 16.28302 11.56791
"ENST00000215570.8" 137 109 123.95833 156.95364 161 148.91724
"ENST00000215574.9" 8.61538 10.08748 9 10 8 8
"ENST00000215587.11" 86.53846 37.56098 17.42236 70.875 84.09091 74.66667
"ENST00000215631.9" 37.78592 37.4952 49.78841 44.86639 25.28678 53
"ENST00000215659.13" 12.56753 16.02876 9.64569 13.63103 2.74884 21.01544
"ENST00000215727.10" 3 18 5 9 13 8
"ENST00000215730.12" 24 33 24 23 27 27
"ENST00000215742.9" 3.05151 3.5 1.48651 1.20959 0 0.78078
"ENST00000215743.8" 0 0 1 1 0 2
"ENST00000215754.8" 920.31782 713.9323 698.99561 2056.89807 2123.99824 2493.9742
"ENST00000215790.12" 17.33333 9 7 7 13 4
"ENST00000215793.13" 66 48 51 43 62 27
"ENST00000215794.8" 0 2 1 0 3 3
"ENST00000215829.8" 83 102 92 120 114 104
"ENST00000215832.11" 59.96552 60.68104 86.7351 57.68159 52.79416 33
"ENST00000215838.8" 8.55556 11 6 2 2.66667 6
"ENST00000215882.10" 10 6 21.46154 4.22222 6 20.7
"ENST00000215886.6" 1 1 2 10 5 3
"ENST00000215904.7" 10 7.33333 23 7.85714 4 9
"ENST00000215906.6" 11 6 3 9 3 5
"ENST00000215909.10" 1280.97051 1346.50039 1263.34694 3030.89517 2391.75631 2420.8027
"ENST00000215912.10" 0 8.38633 1.72281 11.67457 7.60144 11.00324
"ENST00000215917.11" 9 1 24 7 10 5
"ENST00000215919.3" 4 0 9.1243 10.16768 8.75584 5
"ENST00000215941.9" 3 8.4 4.57143 5 1 1
"ENST00000215956.10" 3.9544 14.89368 13.65812 3.83165 5.31965 1e-05
"ENST00000215957.10" 10 10 8 2 2 3
"ENST00000215980.10" 7 10 1 1 1 3
"ENST00000216014.9" 36.65988 20.06991 28.87476 24 30 43.47788
"ENST00000216019.11" 32.55846 89.22191 62.62722 72.39091 30.13656 18.01365
"ENST00000216027.8" 24 12.83159 14 10 17 6
"ENST00000216029.8" 22.91667 11.84615 9.47764 55.35135 54.91421 46.09099
"ENST00000216034.6" 105 81 54 49 122 90
"ENST00000216036.9" 2 0 0 1 2 3
"ENST00000216037.10" 59.4633 41.72418 23.43074 88.08075 90.08679 107.87659
"ENST00000216038.6" 46 78.84342 26 23.73689 32.75721 52
"ENST00000216039.9" 5 17 3 12 13 2
"ENST00000216044.10" 7 6 24 0 6 2
"ENST00000216061.9" 4.77183 0 0 0 0 4.52926
"ENST00000216068.9" 7 5 37 6 10 8
"ENST00000216080.5" 0 3.66667 3.33333 0 0 10
"ENST00000216083.6" 0 1.67347 0 0 1.61905 1.74286
"ENST00000216085.12" 2.66667 5 8 1.03591 2 0
"ENST00000216099.13" 4 7 2 3 1 1
"ENST00000216101.7" 1 1 0 0 0 3
"ENST00000216106.6" 22 13.91148 5.90228 0 5.66667 4.28437
"ENST00000216117.9" 23.08696 31.5 58.82051 30.4 32.38095 10
"ENST00000216121.12" 29 45 39 44 54 14
"ENST00000216122.9" 8 19 23 24 11 5
"ENST00000216124.10" 10 30 10 8 13 23
"ENST00000216127.5" 10 15 24 42 24 22
"ENST00000216129.7" 7.70141 6 36.14944 5.14485 12.21607 17.56269
"ENST00000216133.10" 105 86 67 73 95 48
"ENST00000216144.4" 3 1 0 0 1 3
"ENST00000216146.9" 1101.09952 1828.076 1294.87709 2090.10932 3353.65454 2980.99182
"ENST00000216160.11" 8 6 10 16 15 11
"ENST00000216180.8" 15 8 10 1 0 3
"ENST00000216181.11" 35.79591 72.37068 44.1875 112.90323 101.64706 98.27586
"ENST00000216185.7" 43.125 69.75439 49 83.42593 132 76.95385
"ENST00000216190.13" 143 75.97321 58.59933 103 88 64
"ENST00000216200.9" 30.31208 36.0548 53.97697 11.12383 10.26629 34.7593
"ENST00000216214.7" 9.81552 2.08998 4.05286 8.28339 3.14239 0
"ENST00000216218.8" 207.95122 138 130 123 150 186
"ENST00000216225.9" 263 243 309.99668 188 218 210
"ENST00000216237.10" 2 2 19.76471 15.83333 15 21.4821
"ENST00000216241.14" 0 2 3 1 2 1
"ENST00000216252.4" 43 26 40 12 23 33
"ENST00000216254.9" 3.10996 0 8.03555 5.16813 11.44649 32.95759
"ENST00000216259.8" 126.19756 172.40801 176.0873 324.26391 158.45853 357.86112
"ENST00000216264.13" 17 11 7 14 3 21
"ENST00000216267.12" 2.60942 0 2 3.54904 1 0.1379
"ENST00000216268.6" 24 2 3 7 3 3
"ENST00000216271.10" 1 1 8 0.5 0.5 0
"ENST00000216274.10" 0 1 3 1 0 4
"ENST00000216277.13" 25.15568 22.18139 32.02588 34.82082 43.07773 36.52547
"ENST00000216281.13" 616.45735 1125.60489 1108.24501 117.09024 176.95411 197.78146
"ENST00000216286.10" 2 4 5 11 14 10
"ENST00000216294.5" 33 21 16 22 13 9
"ENST00000216297.7" 37.93948 28 24.55694 34.86765 40.72305 24.85363
"ENST00000216330.7" 118.0282 67.57768 79.17234 123.59692 168.92581 165.82915
"ENST00000216336.3" 6 5 9 9 7 7
"ENST00000216367.10" 1 4 0 4 1 0
"ENST00000216373.10" 4 12 7 3 5 2
"ENST00000216392.8" 14.9307 15 10.95258 0 18.60566 24.70405
"ENST00000216410.8" 23.26864 44 19 20 22.4 8
"ENST00000216416.9" 130.944 109 46 64.90909 97.94681 77.98718
"ENST00000216420.12" 0 8.99808 2.14286 10.71429 0 7.05627
"ENST00000216442.12" 73 77 48 44.46624 65 51
"ENST00000216446.9" 1 1 5 0 0 2
"ENST00000216452.9" 5 8 12 16 30 7
"ENST00000216455.9" 221.87888 211.97077 244.8788 185.93492 218.98077 234.87898
"ENST00000216456.6" 0 1.00629 0 0 9.08491 2.01235
"ENST00000216465.10" 28 2 5 6 19 18
"ENST00000216468.8" 4 5 3 3 5 2
"ENST00000216471.5" 0 0 3 0 0 0
"ENST00000216479.8" 42 75 76 41.95122 27.93103 46.93333
"ENST00000216484.7" 1.68198 4.5 4.49626 3.51401 3 5.96659
"ENST00000216487.12" 2 0.5 0.5 0.5 2 1
"ENST00000216489.8" 4 7 5 7 6 2
"ENST00000216492.10" 24 16 11 3 8 27
"ENST00000216500.9" 27.94217 144.91619 146 13.95899 11.31394 28.04503
"ENST00000216513.5" 4 2 4 2 4 1
"ENST00000216520.6" 2.51481 1.19429 3.48699 1.25349 0 3.7326
"ENST00000216554.8" 120.18496 210.1578 105.25431 7.03287 10.72983 7.76842
"ENST00000216602.10" 54.17964 68.85469 91.78158 71.42635 68.45421 41.99953
"ENST00000216629.11" 0 8 4 1 0 2
"ENST00000216714.8" 87.82364 54.18274 60.55058 96.9192 67.28975 60.76031
"ENST00000216727.9" 67.74471 65.28015 71.53487 33.60437 62.48542 40.75034
"ENST00000216733.8" 6 7 0 4 7 7
"ENST00000216743.6" 0 0 0 0 0 0
"ENST00000216756.11" 0 1.29195 0 0 0 0
"ENST00000216774.11" 3.63419 0 26.38571 12.87331 22.49996 0
"ENST00000216780.9" 43.48205 43.55437 28.70658 45.70508 13.16266 15.50766
"ENST00000216797.10" 60.66821 54.15886 24.38751 27.19968 15.0746 53.78573
"ENST00000216799.9" 0 2.11017 2 7 7 0
"ENST00000216802.10" 7.51085 8.42947 5.34055 9.0964 4.49507 8.4015
"ENST00000216807.12" 1 10 1 2 8 2
"ENST00000216832.9" 68 42 169 47.9788 31 68
"ENST00000216840.11" 3.40095 5.24392 7.70943 5.74258 0 7.39132
"ENST00000216877.10" 9 12 16.92308 12 22.55556 15
"ENST00000216879.9" 48.9074 56.47059 71.57098 69.45334 48 59
"ENST00000216923.5" 0 0.5 1 5 1 2
"ENST00000216962.9" 53 23 27 29 40 39
"ENST00000216968.5" 32 22 31 13 17 11
"ENST00000217026.5" 0 0 0 0 1 0
"ENST00000217073.7" 1 0 1 0 5 0
"ENST00000217109.9" 8.66667 16 19 20 20 18.375
"ENST00000217121.9" 0 6.05137 5.60878 5.73361 2.80842 6.15063
"ENST00000217131.6" 4.02921 0 3 0 0 0
"ENST00000217159.6" 0 0 0 1.50168 0 0
"ENST00000217162.5" 0 3 0 0 5 0
"ENST00000217173.7" 6 3.33333 8 4.8 15 2.4
"ENST00000217182.6" 0 10.28571 10 0 6 6
"ENST00000217195.12" 0 3.23077 0 0 1.82609 0
"ENST00000217233.9" 57 51 43 21 18 20
"ENST00000217244.9" 21.58779 20 21 17 13.9406 43
"ENST00000217254.11" 1 1 0 0 0 3
